scenario,N,n_seg,iterations,converged,stop_reason,capped,feasible,min_radius,clearance,cost_true_energy,J_true,max_koz_slack
phase170,8,2,1000,0,0,True,True,6616.000,145.000,1.779474e-01,1.779475e-01,0.000
phase170,8,4,30,1,1,False,True,6616.000,145.000,1.321019e-03,1.321071e-03,0.000
phase170,8,8,14,1,4,False,True,6582.562,111.562,5.064708e-04,5.065098e-04,0.000
phase170,8,16,13,1,4,False,True,6503.267,32.267,4.615786e-04,4.616177e-04,0.000
phase170,8,32,13,1,4,False,True,6479.223,8.223,4.515545e-04,4.515936e-04,0.000
phase170,8,64,13,1,4,False,True,6473.030,2.030,4.490936e-04,4.491327e-04,0.000
planechange,6,2,1000,0,0,True,True,6616.000,145.000,1.467885e-02,1.467894e-02,0.000
planechange,6,4,322,1,1,False,True,6616.000,145.000,1.495341e-04,1.495424e-04,0.000
planechange,6,8,10,1,4,False,True,6541.230,70.230,6.590431e-05,6.591082e-05,0.000
planechange,6,16,10,1,4,False,True,6489.142,18.142,6.153354e-05,6.153992e-05,0.000
planechange,6,32,10,1,4,False,True,6475.573,4.573,6.053923e-05,6.054559e-05,0.000
planechange,6,64,10,1,4,False,True,6472.137,1.137,6.029616e-05,6.030250e-05,0.000
planechange,7,2,1000,0,0,True,True,6616.000,145.000,1.381727e-02,1.381736e-02,0.000
planechange,7,4,17,1,4,False,True,6616.000,145.000,1.491187e-04,1.491269e-04,0.000
planechange,7,8,10,1,4,False,True,6540.166,69.166,6.583083e-05,6.583734e-05,0.000
planechange,7,16,10,1,4,False,True,6489.076,18.076,6.147884e-05,6.148523e-05,0.000
planechange,7,32,10,1,4,False,True,6475.539,4.539,6.047747e-05,6.048383e-05,0.000
planechange,7,64,10,1,4,False,True,6472.139,1.139,6.023316e-05,6.023951e-05,0.000
planechange,8,2,1000,0,0,True,True,6616.000,145.000,1.350596e-02,1.350605e-02,0.000
planechange,8,4,14,1,4,False,True,6616.000,145.000,1.489621e-04,1.489703e-04,0.000
planechange,8,8,10,1,4,False,True,6540.112,69.112,6.582056e-05,6.582707e-05,0.000
planechange,8,16,10,1,4,False,True,6489.220,18.220,6.140110e-05,6.140750e-05,0.000
planechange,8,32,10,1,4,False,True,6475.541,4.541,6.037504e-05,6.038141e-05,0.000
planechange,8,64,10,1,4,False,True,6472.144,1.144,6.012321e-05,6.012957e-05,0.000
