step,phase,rho,trust,merit,step_norm,slack
1,0,nan,4000.000,8.312101e+00,1.2950e+04,1.1041e+03
2,1,1.0000,8000.000,9.659079e-05,7.2814e+03,9.8022e-12
3,1,1.0026,16000.000,8.496287e-05,6.6422e+02,5.2440e-16
4,1,0.9977,16000.000,8.490345e-05,2.5041e+01,3.0223e-17
5,1,0.9976,16000.000,8.490299e-05,2.2019e+00,2.0546e-19
6,1,0.9992,16000.000,8.490298e-05,2.2310e-01,5.9869e-19
7,1,1.4618,16000.000,8.490298e-05,2.7381e-02,2.6652e-19
8,1,nan,16000.000,8.490298e-05,3.7071e-03,2.6141e-19
