step,phase,rho,trust,merit,step_norm,slack
1,0,nan,2000.000,3.708536e+02,7.3129e+03,4.0566e+04
2,1,1.0000,4000.000,2.881761e-05,4.5970e+03,8.4357e-13
3,1,0.9980,8000.000,2.273665e-05,5.7703e+02,8.9632e-15
4,1,0.9999,8000.000,2.263321e-05,2.7742e+01,3.9677e-16
5,1,1.0002,8000.000,2.263313e-05,6.1541e-01,-4.4485e-18
6,1,1.0918,8000.000,2.263313e-05,2.2649e-02,-3.3189e-20
7,1,0.9286,8000.000,2.263313e-05,9.2964e-04,3.6602e-20
