step,phase,rho,trust,merit,step_norm,slack
1,0,nan,2000.000,5.411440e+02,7.3786e+03,5.5475e+04
2,1,1.0000,4000.000,9.651874e-05,5.3526e+03,-1.2133e-13
3,1,0.9958,8000.000,6.280889e-05,1.6887e+03,6.9650e-15
4,1,0.9976,8000.000,6.150376e-05,1.4064e+02,5.2547e-15
5,1,0.9963,8000.000,6.148541e-05,1.5055e+01,5.2528e-17
6,1,0.9953,8000.000,6.148517e-05,1.6470e+00,5.8355e-19
7,1,0.9839,8000.000,6.148516e-05,1.7992e-01,-7.7847e-21
8,1,0.8797,8000.000,6.148516e-05,1.9651e-02,5.4831e-21
