step,phase,rho,trust,merit,step_norm,slack
1,0,nan,2000.000,3.441713e-05,3.7683e+03,-1.5260e-12
2,1,0.9933,4000.000,3.347158e-05,3.5811e+02,6.9481e-17
3,1,0.9797,8000.000,3.347150e-05,2.7871e+00,2.6180e-20
4,1,1.3621,8000.000,3.347150e-05,4.5886e-02,1.2933e-19
