scenario,degree,n_seg,trust_radius_km,completed_repeats,error_repeats,certified,dense_probe_ok,margin_km,ctrl_cost_ms2,objective,iters,stop,hull_violation_km,runtime_min_s,runtime_median_s,runtime_max_s,consistent_metrics,J_true,koz_binds,tau_star
phase135,8,32,4000.0,15,0,True,True,5.068660639993141,8.960439528226688,8.311271925481227e-05,9,4,0.0,0.19743680953979492,0.19880294799804688,0.21002984046936035,True,8.312264645980193e-05,True,0.3557
phase135,8,64,4000.0,15,0,True,True,1.289994867277528,8.938709416403405,8.268411133089998e-05,9,4,0.0,0.2966349124908447,0.2994351387023926,0.35702013969421387,True,8.269403243124643e-05,True,0.5706
phase170,6,2,4000.0,15,0,False,True,145.0,433.9793896440899,0.21449192065090567,1000,0,0.0002906595063905115,2.6862270832061768,2.7028651237487793,2.955659866333008,True,0.21449248888317482,False,0.0
phase170,6,4,4000.0,15,0,True,True,145.0,35.77269575311772,0.0013273073192450976,45,4,1.255102688446641e-10,0.18454504013061523,0.18619990348815918,0.20366787910461426,True,0.0013273601678836324,False,0.0
phase170,6,8,4000.0,15,0,True,True,130.71406325258158,22.34649746084693,0.000510179034726856,12,4,0.0,0.09215474128723145,0.09276485443115234,0.09666585922241211,True,0.0005102179863715449,True,0.7071500000000001
phase170,6,16,4000.0,15,0,True,True,32.63105863918372,21.374457370705933,0.00046668164262587096,11,1,0.0,0.10194706916809082,0.10247492790222168,0.10352301597595215,True,0.0004667206630670223,True,0.659
phase170,6,32,4000.0,15,0,True,True,8.276148651405492,21.154512454491613,0.0004566834114192143,11,4,0.0,0.13536477088928223,0.13841605186462402,0.19101214408874512,True,0.00045672252543676735,True,0.6414500000000001
phase170,6,64,4000.0,15,0,True,True,2.048425306927129,21.09040859025384,0.00045414422022397043,11,4,0.0,0.21249103546142578,0.21382880210876465,0.37021899223327637,True,0.00045418331500691404,True,0.6486500000000001
phase170,7,2,4000.0,15,0,False,True,145.0,424.51097960725485,0.2028621188404151,1000,0,0.0007472489614883671,3.391746997833252,3.410182237625122,3.56860089302063,True,0.20286245139213793,False,0.0
phase170,7,4,4000.0,15,0,True,True,145.0,35.742232233530125,0.001323516250672667,43,4,1.5916157281026244e-10,0.2185368537902832,0.22025489807128906,0.28803205490112305,True,0.0013235690246619105,False,0.0
phase170,7,8,4000.0,15,0,True,True,118.53841915046178,22.217215524228333,0.0005070891020944126,168,1,2.4911059881560504e-09,0.8165802955627441,0.8226888179779053,0.8737142086029053,True,0.000507128146724996,True,0.1482
phase170,7,16,4000.0,15,0,True,True,31.893655059538105,21.166371771659772,0.0004625837779523086,12,4,0.0,0.13371801376342773,0.13492417335510254,0.13791418075561523,True,0.00046262287577218854,True,0.2592
phase170,7,32,4000.0,15,0,True,True,8.381207535175236,20.939624543359773,0.00045255071583344246,12,4,0.0,0.1816089153289795,0.18260979652404785,0.18955016136169434,True,0.00045258987139468204,True,0.31670000000000004
phase170,7,64,4000.0,15,0,True,True,2.076644899895655,20.882382858472265,0.0004501026784713584,12,4,0.0,0.2913081645965576,0.2939300537109375,0.3348360061645508,True,0.00045014183636347515,True,0.318
phase170,8,2,4000.0,15,0,False,True,145.0,401.91196341870506,0.17806978645664293,1000,0,0.0004121526490052929,4.272216081619263,4.324954986572266,4.611437082290649,True,0.17806989687443767,False,0.0
phase170,8,4,4000.0,15,0,True,True,145.0,35.74879694381717,0.0013210187515295345,30,1,1.1823431123048067e-10,0.20340204238891602,0.20658516883850098,0.2604939937591553,True,0.00132107104201856,False,0.0
phase170,8,8,4000.0,15,0,True,True,111.56199154475689,22.254201461975402,0.0005064708080101851,14,4,0.0,0.14581513404846191,0.1466670036315918,0.15071892738342285,True,0.0005065098287211296,True,0.14450000000000002
phase170,8,16,4000.0,15,0,True,True,32.2671539497569,21.218324682073476,0.00046157855023727385,13,4,0.0,0.1719799041748047,0.17350196838378906,0.17776274681091309,True,0.00046161765717915305,True,0.2584
phase170,8,32,4000.0,15,0,True,True,8.223130606233099,20.96820717456022,0.00045155452859238455,13,4,0.0,0.24129080772399902,0.24268579483032227,0.28457117080688477,True,0.0004515936035568512,True,0.28190000000000004
